"ID" "year" "host" "country" "temp" "precipitation" "elevation" "gold" "silver" "bronze" "population" "GDP" "participate" "medals" "athletes" "time"
"62" 7 1984 0 "Australia " 61.3 97.9 2229 0 0 0 15.544 1.2455 1 0 10 2
"63" 7 1988 0 "Australia " 61.3 97.9 2229 0 0 0 16.5322 1.4331 1 0 24 3
"64" 7 1992 0 "Australia " 61.3 97.9 2229 0 0 0 17.495 1.8599 1 0 21 4
"65" 7 1994 0 "Australia " 61.3 97.9 2229 0 0 1 17.855 1.8081 1 1 25 5
"66" 7 1998 0 "Australia " 61.3 97.9 2229 0 0 1 18.711 2.1352 1 1 23 6
"67" 7 2002 0 "Australia " 61.3 97.9 2229 2 0 0 19.6514 2.0072 1 2 27 7
"68" 7 2006 0 "Australia " 61.3 97.9 2229 1 0 1 20.6979 3.6113 1 2 40 8
"69" 7 2010 0 "Australia " 61.3 97.9 2229 2 1 0 22.0318 5.1825 1 3 40 9
"70" 7 2014 0 "Australia " 61.3 97.9 2229 0 2 1 22.722 3.6113 1 3 60 10
"71" 8 1980 0 "Austria " 36 37.2 3798 3 2 2 7.549433 1.0758 1 7 43 1
"72" 8 1984 0 "Austria " 36 37.2 3798 0 0 1 7.561434 0.8899 1 1 65 2
"73" 8 1988 0 "Austria " 36 37.2 3798 3 5 2 7.585317 1.7398 1 10 93 3
"74" 8 1992 0 "Austria " 36 37.2 3798 6 7 8 7.840709 2.4625 1 21 58 4
"75" 8 1994 0 "Austria " 36 37.2 3798 2 3 4 7.936118 2.5383 1 9 80 5
"76" 8 1998 0 "Austria " 36 37.2 3798 3 5 9 7.976789 2.6744 1 17 96 6
"77" 8 2002 0 "Austria " 36 37.2 3798 3 4 10 8.081957 2.5679 1 17 90 7
"78" 8 2006 0 "Austria " 36 37.2 3798 9 7 7 8.268641 3.93 1 23 85 8
"79" 8 2010 0 "Austria " 36 37.2 3798 4 6 6 8.389771 4.5017 1 16 81 9
"80" 8 2014 0 "Austria " 36 37.2 3798 4 8 5 8.429991 3.93 1 17 132 10
"81" 9 1980 0 "Azerbaijan " 43.9 21 4485 0 0 0 6.16399 NA 0 0 0 1
"82" 9 1984 0 "Azerbaijan " 43.9 21 4485 0 0 0 6.568857 NA 0 0 0 2
"83" 9 1988 0 "Azerbaijan " 43.9 21 4485 0 0 0 6.994139 NA 0 0 0 3
"84" 9 1992 0 "Azerbaijan " 43.9 21 4485 0 0 0 7.382 0.0676 0 0 0 4
"85" 9 1994 0 "Azerbaijan " 43.9 21 4485 0 0 0 7.597 0.0436 0 0 0 5
"86" 9 1998 0 "Azerbaijan " 43.9 21 4485 0 0 0 7.913 0.0562 1 0 4 6
"87" 9 2002 0 "Azerbaijan " 43.9 21 4485 0 0 0 8.17195 0.0763 1 0 4 7
"88" 9 2006 0 "Azerbaijan " 43.9 21 4485 0 0 0 8.48455 0.2473 1 0 2 8
"89" 9 2010 0 "Azerbaijan " 43.9 21 4485 0 0 0 9.054332 0.5843 1 0 2 9
"90" 9 2014 0 "Azerbaijan " 43.9 21 4485 0 0 0 9.295784 0.2473 1 0 4 10
"91" 10 1980 0 "Belarus " 28.2 45 346 0 0 0 9.643 NA 0 0 0 1
"92" 10 1984 0 "Belarus " 28.2 45 346 0 0 0 9.91 NA 0 0 0 2
"93" 10 1988 0 "Belarus " 28.2 45 346 0 0 0 10.14 NA 0 0 0 3
"94" 10 1992 0 "Belarus " 28.2 45 346 0 0 0 10.216 0.1666 0 0 0 4
"95" 10 1994 0 "Belarus " 28.2 45 346 0 2 0 10.227 0.146 1 2 33 5
"96" 10 1998 0 "Belarus " 28.2 45 346 0 0 2 10.069 0.1512 1 2 59 6
"97" 10 2002 0 "Belarus " 28.2 45 346 0 0 1 9.865 0.1479 1 1 64 7
"98" 10 2006 0 "Belarus " 28.2 45 346 0 1 0 9.604 0.3849 1 1 28 8
"99" 10 2010 0 "Belarus " 28.2 45 346 1 1 1 9.49 0.5819 1 3 51 9
"100" 10 2014 0 "Belarus " 28.2 45 346 5 0 1 9.464 0.3849 1 6 26 10
